DATE,PLATFORM,CAMPAIGN_NAME,CAMPAIGN_GROUP,CAMPAIGN_ID,ADSET_NAME,ADSET_ID,AD_NAME,AD_ID,OBJECTIVE,AMOUNT_SPENT,IMPRESSIONS,CONVERSIONS,REACH,CLICKS,VIDEO_PLAYS_AT_100,VIDEO_PLAYS_AT_25,VIDEO_PLAYS_AT_50,VIDEO_PLAYS_AT_75,FOCUSSED_VIEW_15SEC,VIDEO_VIEWS,VIDEO_THRUPLAY,VIDEO_PLAY_ACTIONS,COMMENTS,LEADS,LIKES,LINK_CLICKS,ENGAGEMENT,ENGAGEMENT_RATE,SHARES,FOLLOWS,VIEW_THROUGH_CONVERSION,VIDEO_STARTS,PURCHASE
2026-04-30,Influencer Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,13812085527,Bulk Buyers Retention Segment,726269239527,Shelf Story Warm Voice,151153238660,Brand Awareness,78.362013,7653,10,0,32,1.5386,3.1657,1.6980,1.571,0,1980,0,0,0,0,0,0,2761,1.5352,0,0,0,0,0
2026-04-30,Retail Media Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,13812085527,Family Planners Lookalike Segment,137071988859,Shelf Story Warm Voice,364128713939,Brand Awareness,73.068275,20260,24,0,58,1.5049,3.3278,1.6442,1.4314,0,3893,0,0,0,0,0,0,5431,1.7825,0,0,0,0,0
2026-04-30,Marketplace Feed,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,87026041619,Health Conscious Buyers Interest Segment,818534359029,Shelf Story Warm Voice,114122319684,Brand Awareness,51.35909,5626,9,0,13,0.8838,1.6937,1.3121,1.0046,0,2427,0,0,0,0,0,0,3230,1.3530,0,0,0,0,0
2026-04-30,Video Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,339.371081,102843,3,0,206,1.6853,3.2483,2.4376,1.901,0,38940,0,0,0,0,0,0,46965,4.176,0,0,0,0,0
2026-04-30,Marketplace Feed,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,87026041619,Family Planners Lookalike Segment,141496402615,Shelf Story Warm Voice,182751913314,Brand Awareness,65.286090,16457,6,0,14,1.6848,3.4607,2.0319,1.5895,0,3186,0,0,0,0,0,0,4759,1.7752,0,0,0,0,0
2026-04-30,Display Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Bulk Buyers Retention Segment,307152132159,Offer Spotlight Warm Voice,517946828686,Brand Awareness,149.334761,24801,0,0,73,1.5674,2.6924,1.8018,1.5004,0,7724,0,0,0,0,0,0,10873,3.3930,0,0,0,0,0
2026-04-30,Social Feed,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,87026041619,Bulk Buyers Retention Segment,619759248731,Shelf Story Warm Voice,171194746764,Brand Awareness,61.011955,11735,3,0,12,1.3611,3.2794,1.8974,1.2918,0,1676,0,0,0,0,0,0,2645,1.3948,0,0,0,0,0
2026-04-30,Social Feed,Home Essentials Promo Initiative,Metro Region Loyalty Cohort,58968315460,Family Planners Lookalike Segment,170587862312,Shelf Story Bold Voice,411961161763,Brand Awareness,201.88051,56290,33,0,151,1.5079,4.6386,2.5483,1.9563,0,10009,0,0,0,0,0,0,13063,1.6525,0,0,0,0,0
2026-04-30,Retail Media Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,13812085527,Health Conscious Buyers Interest Segment,514661077975,Shelf Story Warm Voice,157313260462,Brand Awareness,45.339588,6138,7,0,15,0.6036,2.7301,0.9104,0.5488,0,1828,0,0,0,0,0,0,2165,1.7300,0,0,0,0,0
2026-04-30,Affiliate Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Health Conscious Buyers Interest Segment,141572802958,Offer Spotlight Warm Voice,658353299387,Brand Awareness,40.008573,4181,0,0,15,1.3125,2.4243,1.8046,1.3077,0,1941,0,0,0,0,0,0,2608,2.342,0,0,0,0,0
2026-04-29,Connected TV,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,146.457395,36351,3,0,91,1.7105,2.8908,2.0516,1.8542,0,15072,0,0,0,0,0,0,18596,3.3015,0,0,0,0,0
2026-04-29,Connected TV,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Bulk Buyers Retention Segment,307152132159,Offer Spotlight Warm Voice,517946828686,Brand Awareness,337.396415,57813,2,0,281,1.6302,2.732,1.9621,1.5874,0,13642,0,0,0,0,0,0,22569,3.33,0,0,0,0,0
